Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
SS01 - System - Search  - Search Success,N6-77,10296,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 4:18 PM,05/Jan/23 4:18 PM,05/Jan/23 4:30 PM,,,0,Search,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,N6-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hiển thị thông báo ""Sản phẩm tìm kiếm thành công""",,,,,,,,,,N6-3,,,"Phải hiển thị thông báo ""Sản phẩm tìm kiếm thành công""",,,,,0|i001qv:,,BAN Sprint 3,,,,,,,,System,1) Nhập đúng từ khóa sản phẩm vào thanh Tìm kiếm,Pass,,,,To Do
FPS01 - System - Forgot Password - Password reset successfully,N6-76,10295,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 4:13 PM,05/Jan/23 4:20 PM,05/Jan/23 4:30 PM,,,0,ForgotPassword,Password reset successfully,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gửi email đặt lại mật khẩu ,,,,,,,,,,N6-5,,,gửi email đặt lại mật khẩu ,,,,,0|i001qn:,,BAN Sprint 3,,,,,,,,System,"1) Nhập Email đăng ký tài khoản
2) Nhấn submit",Pass,,,,To Do
RS01 - System - Register - Sign Up Success,N6-75,10294,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 4:11 PM,05/Jan/23 4:12 PM,05/Jan/23 4:30 PM,,,0,registration,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,N6-61,N6-58,N6-59,N6-62,,,,,,,,,,,,,,,,,,,,,,,,,"Hiển thị thông báo ""Đăng ký thành công""",,,,,,,,,,N6-2,,,"Phải hiển thị thông báo ""Đăng ký thành công""",,,,,0|i001qf:,,BAN Sprint 3,,,,,,,,System,"1) Nhập Họ, đệm
2) Nhập Tên
3) Nhập Email
4) Nhập Mật khẩu
5) Nhấn Tạo mới",Pass,,,,To Do
CS01 - System - Cart - Successful ordering,N6-74,10293,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 4:10 PM,05/Jan/23 4:19 PM,05/Jan/23 4:30 PM,,,0,Cart,Successful ordering,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thông báo đặt hàng thành công ,,,,,,,,,,N6-4,,,Thông báo đặt hàng thành công ,,,,,0|i001q7:,,BAN Sprint 3,,,,,,,,System,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
LS01 - System - Login - Login successful,N6-73,10292,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 3:59 PM,05/Jan/23 4:00 PM,05/Jan/23 4:30 PM,,,0,Login,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,N6-60,N6-63,,,,,,,,,,,,,,,,,,,,,,,,,,," Hiển thị thông báo ""Đăng nhập thành công""",,,,,,,,,,N6-1,,,"Phải hiển thị thông báo ""Đăng nhập thành công""",,,,,0|i001pz:,,BAN Sprint 3,,,,,,,,System,"1) Nhập Email và mật khẩu hợp lệ
2) Nhấn nút Đăng nhập
",Pass,,,,To Do
CI07- Integration - Cart - Verify Please enter your ward,N6-72,10291,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:56 PM,05/Jan/23 4:06 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify Please enter your ward,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-50,N6-8,N6-45,N6-55,N6-37,N6-21,N6-43,N6-36,N6-18,N6-28,N6-40,N6-16,N6-47,N6-52,N6-32,N6-13,N6-31,N6-25,N6-49,,,,,,,,,, hiển thị,,,,,,,,,,N6-4,,,hiển thị ,,,,,0|i001pr:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
CI06- Integration - Cart - Verify Please enter your district,N6-71,10290,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:54 PM,05/Jan/23 4:06 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify Please enter your district,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-18,N6-21,N6-45,N6-8,N6-36,N6-31,N6-52,N6-43,N6-55,N6-49,N6-47,N6-13,N6-50,N6-40,N6-32,N6-16,N6-25,N6-28,N6-37,,,,,,,,,,hiển thị,,,,,,,,,,N6-4,,,hiển thị,,,,,0|i001pj:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
CI05- Integration - Cart - Verify Please enter your province,N6-70,10289,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:53 PM,05/Jan/23 4:06 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify Please enter your province,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-13,N6-25,N6-32,N6-21,N6-28,N6-55,N6-50,N6-16,N6-31,N6-8,N6-45,N6-18,N6-43,N6-37,N6-36,N6-40,N6-47,N6-52,N6-49,,,,,,,,,,Hiển thị,,,,,,,,,,N6-4,,,Hiển thị,,,,,0|i001pb:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
CI04- Integration - Cart - Verify Address can't be blank,N6-69,10288,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:52 PM,05/Jan/23 4:05 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify Address can't be blank,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-32,N6-21,N6-8,N6-49,N6-36,N6-52,N6-18,N6-16,N6-55,N6-25,N6-47,N6-40,N6-28,N6-31,N6-43,N6-13,N6-37,N6-50,N6-45,,,,,,,,,,Hiển thị,,,,,,,,,,N6-4,,,Hiển thị,,,,,0|i001p3:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
CI03 - Integration - Cart - Verify Phone number can't be blank,N6-68,10287,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:51 PM,05/Jan/23 4:05 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify Phone number can't be blank,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-18,N6-21,N6-28,N6-16,N6-45,N6-37,N6-50,N6-43,N6-49,N6-25,N6-40,N6-31,N6-52,N6-13,N6-32,N6-36,N6-47,N6-55,N6-8,,,,,,,,,,Hiển thị,,,,,,,,,,N6-4,,,Hiển thị Phone number can't be blank,,,,,0|i001ov:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
FPI01 - Integration - Forgot Password - Invalid email,N6-67,10286,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 3:51 PM,05/Jan/23 3:52 PM,05/Jan/23 4:30 PM,,,0,ForgotPassword,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,N6-39,N6-44,N6-53,N6-34,,,,,,,,,,,,,,,,,,,,,,,,,"Hiển thị thông báo ""Không tìm thấy tài khoản nào với email này""",,,,,,,,,,N6-5,,,"Phải hiển thị thông báo ""Không tìm thấy tài khoản nào với email này""",,,,,0|i001on:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập email không hợp lệ vào trường Email
2) Nhấn gửi",Fail,,,,To Do
CI02 - Integration - Cart - Verify email is not be blank,N6-66,10285,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:50 PM,05/Jan/23 4:05 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify email is not be blank,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-50,N6-32,N6-8,N6-18,N6-47,N6-40,N6-31,N6-52,N6-25,N6-28,N6-37,N6-45,N6-13,N6-21,N6-16,N6-43,N6-36,N6-55,N6-49,,,,,,,,,,Hiển thị,,,,,,,,,,N6-4,,,email không được để trống,,,,,0|i001of:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
CI01 - Integration - Cart - Verify name is not be blank,N6-65,10284,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:48 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify is not be blank,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-8,N6-16,N6-21,N6-18,N6-47,N6-36,N6-52,N6-50,N6-37,N6-55,N6-25,N6-13,N6-28,N6-40,N6-32,N6-31,N6-43,N6-49,N6-45,,,,,,,,,,Hiển Thị,,,,,,,,,,N6-4,,,hiển thị Họ tên không được để trống,,,,,0|i001o7:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên 
2) Nhập Email 
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán 
6) Nhấn submit",Pass,,,,To Do
SI01 - Integration - Search - Search not available,N6-64,10283,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 3:44 PM,05/Jan/23 4:18 PM,05/Jan/23 4:30 PM,,,0,Search,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,N6-9,N6-24,N6-27,N6-14,N6-20,N6-6,N6-11,N6-17,,,,,,,,,,,,N6-77,,,,,,,,,"Hiển thị thông báo ""Tìm kiếm của bạn không tồn tại""",,,,,,,,,,N6-3,,,"Phải hiển thị thông báo ""Tìm kiếm của bạn không tồn tại""",,,,,0|i001nz:,,BAN Sprint 2,,,,,,,,Integratiom,1) Nhập 1 sản phẩm không tồn tại vào mục Tìm kiếm,Fail,,,,To Do
LI02 - Integration - Login - Incorrect password,N6-63,10282,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 3:34 PM,05/Jan/23 4:00 PM,05/Jan/23 4:30 PM,,,0,Login,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,N6-29,N6-33,N6-41,,,,,,,,,,,,,,,,,N6-73,,,,,,,05/Jan/23 3:32 PM;63918baa5fce844d606d502d;image-20230105-083236.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10101/image-20230105-083236.png,,"Thông báo hiển thị ""Yêu cầu không hợp lệ, hoặc quá hạn, phiền bạn thử lại""",,,,,,,,,,N6-1,,,"Phải hiển thị thông báo ""Mật khẩu không đúng""",,,,,0|i001nr:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập đúng vào trường Email
2) Nhập sai mật khẩu",Fail,,,,To Do
RI04 - Integration - Register - Verify Invalid password,N6-62,10281,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:31 PM,05/Jan/23 4:12 PM,05/Jan/23 4:30 PM,,,0,registration,Verify Invalid password,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-22,N6-12,N6-7,N6-48,N6-15,N6-56,N6-26,N6-42,N6-35,N6-38,N6-46,N6-54,N6-30,N6-57,,,,,,N6-75,,,,,,,,,hiển thị ,,,,,,,,,,N6-2,,,hiển thị mật khẩu không hợp lệ,,,,,0|i001nj:,,BAN Sprint 2,,,,,,,,Integratiom,,Pass,,,,To Do
RI03 - Integration - Register - Verify Email Invalid,N6-61,10280,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:29 PM,05/Jan/23 4:12 PM,05/Jan/23 4:30 PM,,,0,registration, Verify Email Invalid,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-15,N6-12,N6-30,N6-46,N6-26,N6-7,N6-35,N6-56,N6-22,N6-48,N6-42,N6-54,N6-38,N6-57,,,,,,N6-75,,,,,,,05/Jan/23 3:28 PM;63918a3d3e79f12e5725b36a;image-20230105-082817.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10099/image-20230105-082817.png,05/Jan/23 3:29 PM;63918a3d3e79f12e5725b36a;image-20230105-082915.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10098/image-20230105-082915.png,Hiển thị đăng ký thành công,,,,,,,,,,N6-2,,,Hiển thị Email không hợp lệ,,,,,0|i001nb:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập họ
2) Nhập tên
3) Nhập email
4) Nhập password
5) Nhấn submit",Fail,,,,To Do
LI01 - Integration - Login - Invalid email,N6-60,10279,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 3:26 PM,05/Jan/23 4:00 PM,05/Jan/23 4:30 PM,,,0,Login,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,N6-10,N6-51,N6-23,N6-19,,,,,,,,,,,,,,,,N6-73,,,,,,,05/Jan/23 3:30 PM;63918baa5fce844d606d502d;image-20230105-083032.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10100/image-20230105-083032.png,,"Hiển thị thông báo ""Yêu cầu không hợp lệ, hoặc quá hạn, phiền bạn thử lại""",,,,,,,,,,N6-1,,,"Phải hiển thị thông báo ""Email không hợp lệ""",,,,,0|i001n3:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Email không hợp lệ
2) Nhập đúng hết trường còn lại",Fail,,,,To Do
RI02 - Integration - Register - Verify Invalid name,N6-59,10278,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:23 PM,05/Jan/23 4:12 PM,05/Jan/23 4:30 PM,,,0,registration,Verify Invalid name,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-12,N6-38,N6-26,N6-7,N6-56,N6-35,N6-42,N6-54,N6-48,N6-30,N6-22,N6-15,N6-46,N6-57,,,,,,N6-75,,,,,,,05/Jan/23 3:23 PM;63918a3d3e79f12e5725b36a;image-20230105-082337.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10097/image-20230105-082337.png,,Hiển thị đăng ký thành công,,,,,,,,,,N6-2,,,Hiển thị tên không hợp lệ,,,,,0|i001mv:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập họ 
2) Nhập tên
3) Nhập email 
4) Nhập mật khẩu
5) nhấn submit",Fail,,,,To Do
RI01 - Integration - Register - Verify Invalid surname ,N6-58,10277,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:20 PM,05/Jan/23 4:12 PM,05/Jan/23 4:30 PM,,,0,registration,Verify Invalid surname ,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-15,N6-26,N6-7,N6-46,N6-35,N6-22,N6-30,N6-12,N6-38,N6-57,N6-48,N6-42,N6-54,N6-56,,,,,,N6-75,,,,,,,05/Jan/23 3:19 PM;63918a3d3e79f12e5725b36a;image-20230105-081953.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10096/image-20230105-081953.png,,Đăng ký tài khoản thành công,,,,,,,,,,N6-2,,,Không đăng ký tài khoản thành công,,,,,0|i001mn:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập họ
2) Nhập tên 
3) Nhập email 
4) Nhập password
5) Nhấn submit",Fail,,,,To Do
R14- registered -  Verify password cannot be left blank,N6-57,10276,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 3:07 PM,05/Jan/23 3:42 PM,05/Jan/23 3:07 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,,,"hiển thị ""password cannot be left blank""",,,,,,,,,,N6-2,,,"hiển thị ""password cannot be left blank""",,,,,0|i001mf:,,BAN Sprint 1,,,,,,,,Unit,1)bỏ trống password,Pass,,,,To Do
R13- registered -  Verify email already exists,N6-56,10275,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 3:03 PM,05/Jan/23 3:42 PM,05/Jan/23 3:04 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,,,"hiển thị ""email already exists""",,,,,,,,,,N6-2,,,"hiển thị ""email already exists""",,,,,0|i001m7:,,BAN Sprint 1,,,,,,,,Unit,1)nhập email đã đăng kí,Pass,,,,To Do
C18 - Cart - Verify do not enter the ward,N6-55,10274,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 3:01 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,,,Please enter your ward is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Please enter your ward""",,,,,0|i001lz:,,,,,,,,,,Unit,1.không chọn phường,Pass,,,,To Do
