Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
R13- registered -  Verify Invalid email,N6-54,10273,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 3:01 PM,05/Jan/23 3:42 PM,05/Jan/23 3:01 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,,,"hiển thị ""Invalid email""",,,,,,,,,,N6-2,,,"hiển thị ""Invalid email""",,,,,0|i001lr:,,BAN Sprint 1,,,,,,,,Unit,1)Nhập email không hợp lệ,Pass,,,,To Do
FP04- Forgot Password - Verify Firts Character is not be blank,N6-53,10272,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:00 PM,05/Jan/23 3:51 PM,05/Jan/23 4:30 PM,,,0,ForgotPassword,Verify Firts Character is not be blank,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-67,,,,,,,05/Jan/23 3:00 PM;63918a3d3e79f12e5725b36a;image-20230105-080043.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10095/image-20230105-080043.png,,Không hiển thị,,,,,,,,,,N6-5,,,"Hiển thị ""Không được nhập kí tự đầu là khoảng trống""",,,,,0|i001lj:,,BAN Sprint 1,,,,,,,,Unit,"1) Nhập kí tự đầu là khoảng trống
2) Nhấn submit",Fail,,,,To Do
C17 - Cart - Verify select county do not enter the county,N6-52,10271,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:58 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,,,Please enter your district is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Please enter your district""",,,,,0|i001lb:,,BAN Sprint 1,,,,,,,,Unit,1.không chọn quận nào,Pass,,,,To Do
L04 - Verify Email - Special character are not allowed,N6-51,10270,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 2:57 PM,05/Jan/23 3:27 PM,05/Jan/23 4:30 PM,,,0,Login,Verify Email - Special character are not allowed,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-60,,,,,,,05/Jan/23 2:56 PM;63918baa5fce844d606d502d;image-20230105-075604.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10094/image-20230105-075604.png,,Không hiển thị,,,,,,,,,,N6-1,,,"Phải hiển thị thông báo ""Special character are not allowed""",,,,,0|i001l3:,,BAN Sprint 1,,,,,,,,Unit,1) Nhập ký tự đặc biệt vào trường Email,Fail,,,,To Do
C16 - Cart - Verify City chose city,N6-50,10269,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:56 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,,,Please enter your province is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Please enter your province""",,,,,0|i001kv:,,BAN Sprint 1,,,,,,,,Unit,1.không chọn thành phố,Pass,,,,To Do
C15 - Cart - Verify Address Special characters are not allowed,N6-49,10268,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:52 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,"!image-20230105-075122.png|width=634,height=72!",,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,05/Jan/23 2:52 PM;629c769c9f5d480069c74a1d;image-20230105-075122.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10092/image-20230105-075122.png,,Address Special characters are not allowed is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Address Special characters are not allowed"" ",,,,,0|i001kn:,,BAN Sprint 1,,,,,,,,Unit,1. ghi ký tự đặc biệt,Fail,,,,To Do
R12- registered -  Verify Name cannot be more than 10 characters,N6-48,10267,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:52 PM,05/Jan/23 3:42 PM,05/Jan/23 2:52 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,05/Jan/23 2:52 PM;629c7d86954f50006fc9d8b5;image-20230105-075233.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10093/image-20230105-075233.png,,không hiển thị,,,,,,,,,,N6-2,,,"hiển thị ""Name cannot be more than 10 characters""",,,,,0|i001kf:,,BAN Sprint 1,,,,,,,,Unit,1)nhập hơn 10 kí tự ,Fail,,,"05/Jan/23 2:52 PM;629c7d86954f50006fc9d8b5;!image-20230105-075233.png|width=402,height=280!",To Do
C14 - Cart - Verify Address  First character can not have space,N6-47,10266,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:50 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,"!image-20230105-074839.png|width=601,height=55!",,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,05/Jan/23 2:50 PM;629c769c9f5d480069c74a1d;image-20230105-074839.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10091/image-20230105-074839.png,,Address  First character can not have space is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Address  First character can not have space""",,,,,0|i001k7:,,BAN Sprint 1,,,,,,,,Unit,1.nhấn 2 ký tự sau đó cách 2 ký tự ra,Fail,,,,To Do
R11- registered -  Verify Names cannot be numeric,N6-46,10265,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:48 PM,05/Jan/23 3:42 PM,05/Jan/23 2:48 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,05/Jan/23 2:49 PM;629c7d86954f50006fc9d8b5;image-20230105-074919.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10089/image-20230105-074919.png,,không hiển thị,,,,,,,,,,N6-2,,,"hiển thị ""Names cannot be numeric""",,,,,0|i001jz:,,BAN Sprint 1,,,,,,,,Unit,1)nhập số vào mục tên,Fail,,,"05/Jan/23 2:49 PM;629c7d86954f50006fc9d8b5;!image-20230105-074919.png|width=394,height=278!",To Do
C13 - Cart - Verify Address Field must not be blank,N6-45,10264,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:47 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,,,Address Field must not be blank is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Address Field must not be blank""",,,,,0|i001jr:,,BAN Sprint 1,,,,,,,,Unit,1.bỏ trống,Pass,,,,To Do
FP03 - Forgot Password - Verify Email is not blank,N6-44,10263,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:47 PM,05/Jan/23 3:51 PM,05/Jan/23 4:30 PM,,,0,ForgotPassword,Verify Email is not blank,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-67,,,,,,,05/Jan/23 2:47 PM;63918a3d3e79f12e5725b36a;image-20230105-074706.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10088/image-20230105-074706.png,,"Hiển thị ""Email không hợp lệ""",,,,,,,,,,N6-5,,,"Hiển thị thông báo ""Email không được để trống""",,,,,0|i001jj:,,BAN Sprint 1,,,,,,,,Unit,"1) bỏ trống Email 
2) Nhấn submit",Fail,,,,To Do
C08.1 - Cart - Verify Email is not valid,N6-43,10262,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:46 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,,,Email ID is not valid is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Email ID is not valid""",,,,,0|i001jb:,,BAN Sprint 1,,,,,,,,Unit,1. viết một ký tự,Pass,,,,To Do
R09- registered -  Verify Name cannot contain special characters,N6-42,10261,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:45 PM,05/Jan/23 3:42 PM,05/Jan/23 2:45 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,05/Jan/23 2:46 PM;629c7d86954f50006fc9d8b5;image-20230105-074637.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10087/image-20230105-074637.png,,không hiển thị,,,,,,,,,,N6-2,,,"hiển thị ""Name cannot contain special characters""",,,,,0|i001j3:,,BAN Sprint 1,,,,,,,,Unit,1)ghi tứ đặc biệt,Fail,,,"05/Jan/23 2:46 PM;629c7d86954f50006fc9d8b5;!image-20230105-074637.png|width=394,height=278!",To Do
L07 - Verify Password - Password must be at least 10 characters,N6-41,10260,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 2:45 PM,05/Jan/23 3:35 PM,05/Jan/23 4:30 PM,,,0,Login,Verify Password - Password must be at least 10 characters,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-63,,,,,,,05/Jan/23 2:43 PM;63918baa5fce844d606d502d;image-20230105-074333.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10086/image-20230105-074333.png,,Không hiển thị,,,,,,,,,,N6-1,,,"Phải hiển thị thông báo ""Password must be at least 10 characters""",,,,,0|i001iv:,,BAN Sprint 1,,,,,,,,Unit,1) Nhập ít hơn 10 ký tự vào trường Password,Fail,,,,To Do
C12 - Cart - Verify Phone First character can not have space,N6-40,10259,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:44 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,"!image-20230105-074418.png|width=200,height=60!",,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,05/Jan/23 2:44 PM;629c769c9f5d480069c74a1d;image-20230105-074418.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10085/image-20230105-074418.png,,First character can not have space is be shown,,,,,,,,,,N6-4,,,"hiển thị ""First character can not have space""",,,,,0|i001in:,,BAN Sprint 1,,,,,,,,Unit,1. gõ 2 số sau đó giữa 2 số cho dấu khoảng cách,Fail,,,,To Do
FP02 - Forgot Password - Verify Email is not have special character,N6-39,10258,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:44 PM,05/Jan/23 3:51 PM,05/Jan/23 4:30 PM,,,0,ForgotPassword,Verify Email is not have special character,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-67,,,,,,,,,Hiển thị địa chỉ email không hợp lệ,,,,,,,,,,N6-5,,,Hiển thị địa chỉ email không hợp lệ,,,,,0|i001if:,,BAN Sprint 1,,,,,,,,Unit,"1) Nhập kí tự đặc biệt cho email
2) Nhấp submit",Pass,,,,To Do
R08- registered -  Verify Name cannot be left blank,N6-38,10257,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:42 PM,05/Jan/23 3:42 PM,05/Jan/23 2:43 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,05/Jan/23 2:43 PM;629c7d86954f50006fc9d8b5;image-20230105-074335.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10084/image-20230105-074335.png,,không hiển thị,,,,,,,,,,N6-2,,,"hiển thị ""Name cannot be left blank""",,,,,0|i001i7:,,BAN Sprint 1,,,,,,,,Unit,1)ghi khoảng trắng,Fail,,,"05/Jan/23 2:43 PM;629c7d86954f50006fc9d8b5;!image-20230105-074335.png|width=388,height=268!",To Do
C11 - Cart - Verify phone no letters ,N6-37,10256,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:42 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,,,phone no letters is be shown,,,,,,,,,,N6-4,,,"hiển thị ""phone no letters """,,,,,0|i001hz:,,BAN Sprint 1,,,,,,,,Unit,1. gõ 1 ký tự,Pass,,,,To Do
C10 - Cart - Verify phone no special letters,N6-36,10255,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:39 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,,,phone no special letters is be shown,,,,,,,,,,N6-4,,,"hiển thị ""phone no special letters""",,,,,0|i001hr:,,BAN Sprint 1,,,,,,,,Unit,1.ghi vào ký tự đặc biệt,Pass,,,,To Do
R07- registered -  Verify Name cannot be empty,N6-35,10254,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:39 PM,05/Jan/23 3:42 PM,05/Jan/23 2:40 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,05/Jan/23 2:39 PM;629c7d86954f50006fc9d8b5;image-20230105-073939.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10083/image-20230105-073939.png,,không hiển thị,,,,,,,,,,N6-2,,,"hiển thị ""Name cannot be empty""",,,,,0|i001hj:,,BAN Sprint 1,,,,,,,,Unit,1)Bỏ trống mục tên,Fail,,,"05/Jan/23 2:39 PM;629c7d86954f50006fc9d8b5;!image-20230105-073939.png|width=396,height=278!",To Do
FP01 - Forgot Password - Verify Email is not valid,N6-34,10253,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:39 PM,05/Jan/23 3:51 PM,05/Jan/23 4:30 PM,,,0,ForgotPassword,Verify Email is not valid,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-67,,,,,,,,,Không tìm thấy email,,,,,,,,,,N6-5,,,Không tìm thấy email ,,,,,0|i001hb:,,BAN Sprint 1,,,,,,,,Unit,1) Nhập email bất kì không hợp lệ ,Pass,,,,To Do
L06 - Verify Password - First character can not have space,N6-33,10252,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 2:38 PM,05/Jan/23 3:35 PM,05/Jan/23 4:30 PM,,,0,Login,Verify Password - First character can not have space,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-63,,,,,,,05/Jan/23 2:38 PM;63918baa5fce844d606d502d;image-20230105-073829.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10082/image-20230105-073829.png,,Không hiển thị,,,,,,,,,,N6-1,,,"Phải hiển thị thông báo ""First character can not have space""",,,,,0|i001h3:,,BAN Sprint 1,,,,,,,,Unit,1) Nhập ký tự khoảng trắng vào trường Password,Fail,,,,To Do
C09 - Cart - Verify Phone number can't be blank,N6-32,10251,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:38 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,,,Phone number can't be blank is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Phone number can't be blank""",,,,,0|i001gv:,,BAN Sprint 1,,,,,,,,Unit,1.bỏ trống ,Pass,,,,To Do
C08 - Cart - Verify Email Numbers are not allowed,N6-31,10250,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:34 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,"!image-20230105-073416.png|width=404,height=57!",,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,05/Jan/23 2:34 PM;629c769c9f5d480069c74a1d;image-20230105-073416.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10080/image-20230105-073416.png,,Numbers are not allowed is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Numbers are not allowed""",,,,,0|i001gn:,,BAN Sprint 1,,,,,,,,Unit,1.nhấm số vào email,Fail,,,,To Do
R06- registered - Verify Last name cannot be less than 2 character,N6-30,10249,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:34 PM,05/Jan/23 3:42 PM,05/Jan/23 2:36 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,05/Jan/23 2:35 PM;629c7d86954f50006fc9d8b5;image-20230105-073504.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10081/image-20230105-073504.png,,không hiển thị,,,,,,,,,,N6-2,,,"hiển thị ""Last name cannot be less than 2 character""",,,,,0|i001gf:,,BAN Sprint 1,,,,,,,,Unit,1)Nhập 1 kí tự ,Fail,,,"05/Jan/23 2:35 PM;629c7d86954f50006fc9d8b5;!image-20230105-073504.png|width=404,height=276!",To Do
L05 - Verify Password - Password must not be blank,N6-29,10248,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 2:34 PM,05/Jan/23 3:35 PM,05/Jan/23 4:30 PM,,,0,Login,Verify Password - Password must not be blank,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-63,,,,,,,05/Jan/23 2:31 PM;63918baa5fce844d606d502d;image-20230105-073138.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10079/image-20230105-073138.png,,Không hiển thị,,,,,,,,,,N6-1,,,"Phải hiển thị thông báo ""Password must not be blank""",,,,,0|i001g7:,,BAN Sprint 1,,,,,,,,Unit,"1) Không nhập ký tự vào trường Password
2) Nhấn Tab chuyển sang trường tiếp theo",Fail,,,,To Do
